item_id,item_name,item_price,item_cat,image_url,product_link,image_file
1,"EKTORPספה תלת-מושבית, Kilanda בז' בהיר","₪ 2,345",Sofa 3-seat,https://www.ikea.com/pimg/1194853_pe902103_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ektorp-3-seat-sofa-kilanda-light-beige-s69509010/,1.jpg
2,"GLOSTADספה תלת-מושבית, Knisa אפור כהה",₪ 995,Sofa 3-seat,https://www.ikea.com/pimg/1234948_pe917261_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/glostad-3-seat-sofa-knisa-dark-grey-40573285/,2.jpg
3,"VIMLEספה תלת-מושבית, Gunnared בז'","₪ 3,395",Sofa 3-seat,https://www.ikea.com/il/he/images/products/vimle-3-seat-sofa-gunnared-beige__0514366_pe639439_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-gunnared-beige-s19399033/,3.jpg
4,"KIVIKספה תלת-מושבית, Tresund בז' בהיר","₪ 2,595",Sofa 3-seat,https://www.ikea.com/pimg/1124111_pe875024_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/kivik-3-seat-sofa-tresund-light-beige-s89482830/,4.jpg
5,"STOCKHOLM 2025ספה תלת-מושבית, Alhamn חום כהה","₪ 5,790",Sofa 3-seat,https://www.ikea.com/il/he/images/products/stockholm-2025-3-seat-sofa-alhamn-dark-brown__1362836_pe955332_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-3-seat-sofa-alhamn-dark-brown-s39574295/,5.jpg
6,"LINANÄSספה תלת-מושבית, Vissle בז'","₪ 1,595",Sofa 3-seat,https://www.ikea.com/pimg/1013894_pe829446_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/linanaes-3-seat-sofa-vissle-beige-10512236/,6.jpg
7,"VINLIDENספה תלת-מושבית, Hillared שחור","₪ 3,450",Sofa 3-seat,https://www.ikea.com/il/he/images/products/vinliden-3-seat-sofa-hillared-anthracite__0852750_pe780239_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vinliden-3-seat-sofa-hillared-anthracite-s99304663/,7.jpg
8,"JÄTTEBOיחידת תלת-מושבית, Samsala צהוב כהה-ירוק","₪ 4,590",Sofa 3-seat,https://www.ikea.com/il/he/images/products/jaettebo-3-seat-modular-sofa-samsala-dark-yellow-green__1109636_pe870121_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/jaettebo-3-seat-modular-sofa-samsala-dark-yellow-green-s69485127/,8.jpg
9,"ÄPPLARYDספה תלת-מושבית, Lejde אפור/שחור","₪ 3,995",Sofa 3-seat,https://www.ikea.com/il/he/images/products/aepplaryd-3-seat-sofa-lejde-grey-black__0992907_pe820325_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/aepplaryd-3-seat-sofa-lejde-grey-black-70506237/,9.jpg
10,"SÖDERHAMNספה תלת-מושבית, קצה פתוח/Viarp בז'/חום","₪ 3,590",Sofa 3-seat,https://www.ikea.com/pimg/0802679_pe768540_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-sofa-with-open-end-viarp-beige-brown-s99305691/,10.jpg
11,"GLOSTADספה תלת-מושבית, כולל שזלונג","₪ 1,290",Sofa 3-seat,https://www.ikea.com/il/he/images/products/glostad-3-seat-sofa-with-chaise-longue-knisa-dark-grey__1234952_pe917265_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/glostad-3-seat-sofa-with-chaise-longue-s89542669/,11.jpg
12,"VIMLEספה תלת-מושבית, עם משענות יד רחבות/Gunnared בז'","₪ 3,595",Sofa 3-seat,https://www.ikea.com/pimg/0951896_pe801413_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-with-wide-armrests-gunnared-beige-s69401335/,12.jpg
13,"VISKAFORSספה תלת-מושבית, Lejde/אפור/ירוק ליבנה","₪ 4,595",Sofa 3-seat,https://www.ikea.com/il/he/images/products/viskafors-3-seat-sofa-lejde-grey-green-birch__1088059_pe861034_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/viskafors-3-seat-sofa-lejde-grey-green-birch-s29443337/,13.jpg
14,"SÖDERHAMNספה תלת-מושבית, Fridtuna אפור כהה","₪ 2,995",Sofa 3-seat,https://www.ikea.com/pimg/1057767_pe848961_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-sofa-fridtuna-dark-grey-s39449621/,14.jpg
15,"STOCKHOLMספה תלת-מושבית, Seglora טבעי","₪ 7,250",Sofa 3-seat,https://www.ikea.com/pimg/0183763_pe334809_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-three-seat-sofa-seglora-natural-80245051/,15.jpg
16,"STOCKHOLM 2025ספה תלת-מושבית, Sundhamn בז'","₪ 5,495",Sofa 3-seat,https://www.ikea.com/pimg/1362734_pe955310_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-3-seat-sofa-sundhamn-beige-90586092/,16.jpg
17,"VIMLEספה תלת-מושבית, עם משענת ראש/Gunnared אפור","₪ 3,590",Sofa 3-seat,https://www.ikea.com/pimg/0579287_pe675175_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-with-headrest-gunnared-medium-grey-s09399024/,17.jpg
18,"STOCKHOLM 2025ספת 4 מושבים, Djurmo אפור/לבן","₪ 7,585",Sofa 3-seat,https://www.ikea.com/il/he/images/products/stockholm-2025-4-seat-sofa-djurmo-grey-white__1362843_pe955338_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-4-seat-sofa-djurmo-grey-white-s99574320/,18.jpg
19,"ESSEBODAספה תלת-מושבית, Tallmyra אפור/חום","₪ 3,795",Sofa 3-seat,https://www.ikea.com/il/he/images/products/esseboda-3-seat-sofa-tallmyra-medium-grey-brown__1117690_pe872757_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/esseboda-3-seat-sofa-tallmyra-medium-grey-brown-s79443504/,19.jpg
20,"LANDSKRONAספה תלת-מושבית, Grann/Bomstad חום זהבהב/מטאלי","₪ 3,995",Sofa 3-seat,https://www.ikea.com/il/he/images/products/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal__0602109_pe680178_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270295/,20.jpg
21,"EKHOLMAספה תלת-מושבית, Hakebo בז'","₪ 2,490",Sofa 3-seat,https://www.ikea.com/pimg/1360615_pe954530_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ekholma-3-seat-sofa-hakebo-beige-s79535594/,21.jpg
22,"BÅRSLÖVספה תלת-מושבית נפתחת, Tibbleby בז'/אפור","₪ 3,395",Sofa 3-seat,https://www.ikea.com/pimg/1213685_pe911212_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/barsloev-3-seat-sofa-bed-tibbleby-beige-grey-80541589/,22.jpg
23,"SÖDERHAMNיחידה תלת-מושבית, Tonerud אדום","₪ 2,195",Sofa 3-seat,https://www.ikea.com/pimg/1213838_pe911343_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-section-tonerud-red-s09514397/,23.jpg
24,"HOLMSUNDספת מיטה, 3 מושבים, Kilanda כחול כהה","₪ 2,995",Sofa 3-seat,https://www.ikea.com/il/he/images/products/holmsund-3-seat-sofa-bed-kilanda-dark-blue__1212731_pe910735_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/holmsund-3-seat-sofa-bed-kilanda-dark-blue-s09516928/,24.jpg
25,"EKTORPספה תלת-מושבית, Kilanda בז' בהיר","₪ 2,345",Sofa corner,https://www.ikea.com/pimg/1194853_pe902103_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ektorp-3-seat-sofa-kilanda-light-beige-s69509010/,25.jpg
26,"GLOSTADספה תלת-מושבית, Knisa אפור כהה",₪ 995,Sofa corner,https://www.ikea.com/pimg/1234948_pe917261_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/glostad-3-seat-sofa-knisa-dark-grey-40573285/,26.jpg
27,"VIMLEספה תלת-מושבית, Gunnared בז'","₪ 3,395",Sofa corner,https://www.ikea.com/il/he/images/products/vimle-3-seat-sofa-gunnared-beige__0514366_pe639439_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-gunnared-beige-s19399033/,27.jpg
28,"KIVIKספה תלת-מושבית, Tresund בז' בהיר","₪ 2,595",Sofa corner,https://www.ikea.com/pimg/1124111_pe875024_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/kivik-3-seat-sofa-tresund-light-beige-s89482830/,28.jpg
29,"STOCKHOLM 2025ספה תלת-מושבית, Alhamn חום כהה","₪ 5,790",Sofa corner,https://www.ikea.com/il/he/images/products/stockholm-2025-3-seat-sofa-alhamn-dark-brown__1362836_pe955332_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-3-seat-sofa-alhamn-dark-brown-s39574295/,29.jpg
30,"LINANÄSספה תלת-מושבית, Vissle בז'","₪ 1,595",Sofa corner,https://www.ikea.com/pimg/1013894_pe829446_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/linanaes-3-seat-sofa-vissle-beige-10512236/,30.jpg
31,"VINLIDENספה תלת-מושבית, Hillared שחור","₪ 3,450",Sofa corner,https://www.ikea.com/il/he/images/products/vinliden-3-seat-sofa-hillared-anthracite__0852750_pe780239_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vinliden-3-seat-sofa-hillared-anthracite-s99304663/,31.jpg
32,"JÄTTEBOיחידת תלת-מושבית, Samsala צהוב כהה-ירוק","₪ 4,590",Sofa corner,https://www.ikea.com/il/he/images/products/jaettebo-3-seat-modular-sofa-samsala-dark-yellow-green__1109636_pe870121_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/jaettebo-3-seat-modular-sofa-samsala-dark-yellow-green-s69485127/,32.jpg
33,"ÄPPLARYDספה תלת-מושבית, Lejde אפור/שחור","₪ 3,995",Sofa corner,https://www.ikea.com/il/he/images/products/aepplaryd-3-seat-sofa-lejde-grey-black__0992907_pe820325_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/aepplaryd-3-seat-sofa-lejde-grey-black-70506237/,33.jpg
34,"SÖDERHAMNספה תלת-מושבית, קצה פתוח/Viarp בז'/חום","₪ 3,590",Sofa corner,https://www.ikea.com/pimg/0802679_pe768540_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-sofa-with-open-end-viarp-beige-brown-s99305691/,34.jpg
35,"GLOSTADספה תלת-מושבית, כולל שזלונג","₪ 1,290",Sofa corner,https://www.ikea.com/il/he/images/products/glostad-3-seat-sofa-with-chaise-longue-knisa-dark-grey__1234952_pe917265_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/glostad-3-seat-sofa-with-chaise-longue-s89542669/,35.jpg
36,"VIMLEספה תלת-מושבית, עם משענות יד רחבות/Gunnared בז'","₪ 3,595",Sofa corner,https://www.ikea.com/pimg/0951896_pe801413_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-with-wide-armrests-gunnared-beige-s69401335/,36.jpg
37,"VISKAFORSספה תלת-מושבית, Lejde/אפור/ירוק ליבנה","₪ 4,595",Sofa corner,https://www.ikea.com/il/he/images/products/viskafors-3-seat-sofa-lejde-grey-green-birch__1088059_pe861034_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/viskafors-3-seat-sofa-lejde-grey-green-birch-s29443337/,37.jpg
38,"SÖDERHAMNספה תלת-מושבית, Fridtuna אפור כהה","₪ 2,995",Sofa corner,https://www.ikea.com/pimg/1057767_pe848961_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-sofa-fridtuna-dark-grey-s39449621/,38.jpg
39,"STOCKHOLMספה תלת-מושבית, Seglora טבעי","₪ 7,250",Sofa corner,https://www.ikea.com/pimg/0183763_pe334809_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-three-seat-sofa-seglora-natural-80245051/,39.jpg
40,"STOCKHOLM 2025ספה תלת-מושבית, Sundhamn בז'","₪ 5,495",Sofa corner,https://www.ikea.com/pimg/1362734_pe955310_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-3-seat-sofa-sundhamn-beige-90586092/,40.jpg
41,"VIMLEספה תלת-מושבית, עם משענת ראש/Gunnared אפור","₪ 3,590",Sofa corner,https://www.ikea.com/pimg/0579287_pe675175_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vimle-3-seat-sofa-with-headrest-gunnared-medium-grey-s09399024/,41.jpg
42,"STOCKHOLM 2025ספת 4 מושבים, Djurmo אפור/לבן","₪ 7,585",Sofa corner,https://www.ikea.com/il/he/images/products/stockholm-2025-4-seat-sofa-djurmo-grey-white__1362843_pe955338_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-4-seat-sofa-djurmo-grey-white-s99574320/,42.jpg
43,"ESSEBODAספה תלת-מושבית, Tallmyra אפור/חום","₪ 3,795",Sofa corner,https://www.ikea.com/il/he/images/products/esseboda-3-seat-sofa-tallmyra-medium-grey-brown__1117690_pe872757_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/esseboda-3-seat-sofa-tallmyra-medium-grey-brown-s79443504/,43.jpg
44,"LANDSKRONAספה תלת-מושבית, Grann/Bomstad חום זהבהב/מטאלי","₪ 3,995",Sofa corner,https://www.ikea.com/il/he/images/products/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal__0602109_pe680178_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270295/,44.jpg
45,"EKHOLMAספה תלת-מושבית, Hakebo בז'","₪ 2,490",Sofa corner,https://www.ikea.com/pimg/1360615_pe954530_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ekholma-3-seat-sofa-hakebo-beige-s79535594/,45.jpg
46,"BÅRSLÖVספה תלת-מושבית נפתחת, Tibbleby בז'/אפור","₪ 3,395",Sofa corner,https://www.ikea.com/pimg/1213685_pe911212_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/barsloev-3-seat-sofa-bed-tibbleby-beige-grey-80541589/,46.jpg
47,"SÖDERHAMNיחידה תלת-מושבית, Tonerud אדום","₪ 2,195",Sofa corner,https://www.ikea.com/pimg/1213838_pe911343_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/soederhamn-3-seat-section-tonerud-red-s09514397/,47.jpg
48,"HOLMSUNDספת מיטה, 3 מושבים, Kilanda כחול כהה","₪ 2,995",Sofa corner,https://www.ikea.com/il/he/images/products/holmsund-3-seat-sofa-bed-kilanda-dark-blue__1212731_pe910735_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/holmsund-3-seat-sofa-bed-kilanda-dark-blue-s09516928/,48.jpg
49,"FRIHETENספה פינתית נפתחת עם אחסון, Skiftebo אפור כהה","₪ 2,995",Sofa bed,https://www.ikea.com/pimg/0175610_pe328883_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s39216754/,49.jpg
50,"SKÖNABÄCKספה דו-מושבית נפתחת, Knisa אפור כהה","₪ 1,795",Sofa bed,https://www.ikea.com/pimg/1360572_pe954478_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/skoenabaeck-2-seat-sofa-bed-knisa-dark-grey-70582542/,50.jpg
51,"FRIHETENספה תלת-מושבית נפתחת, Skiftebo אפור כהה","₪ 2,695",Sofa bed,https://www.ikea.com/pimg/0525504_pe644868_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/friheten-three-seat-sofa-bed-skiftebo-dark-grey-50341148/,51.jpg
52,"ÄLVDALENספה תלת-מושבית נפתחת, Knisa אפור כהה","₪ 1,995",Sofa bed,https://www.ikea.com/pimg/1194636_pe902033_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/aelvdalen-3-seat-sofa-bed-knisa-dark-grey-80462596/,52.jpg
53,"FRIDHULTספת מיטה, Skiftebo צהוב","₪ 1,195",Sofa bed,https://www.ikea.com/pimg/1265821_pe927821_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/fridhult-sofa-bed-skiftebo-yellow-00575446/,53.jpg
54,"HAMMARNספת מיטה, Knisa אפור כהה/שחור",₪ 595,Sofa bed,https://www.ikea.com/pimg/0519027_pe641353_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,54.jpg
55,"BÅRSLÖVספה תלת-מושבית נפתחת עם שזלונג, Tibbleby בז'/אפור","₪ 3,695",Sofa bed,https://www.ikea.com/pimg/1213693_pe911220_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/barsloev-3-seat-sofa-bed-with-chaise-longue-tibbleby-beige-grey-80541594/,55.jpg
